year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2021,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.22
2021,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.22
2021,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,437403.48
2021,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,873495.12
2021,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,58319.76
2021,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,377548.23
2021,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,223.65
2021,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,223.65
2022,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,421.91
2022,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,874.54
2022,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,392.76
2022,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.61
2022,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.25
2022,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.25
2022,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,421912.61
2022,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,874542.26
2022,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,59614.54
2022,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,392764.58
2022,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,250.53
2022,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,250.53
2023,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,443.96
2023,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,995.64
2023,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,475.52
2023,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,75.93
2023,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.23
2023,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.23
2023,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,443959.75
2023,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,995637.06
2023,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,75930.9
2023,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,475515.67
2023,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,230.74
